类别：所有类别

周,debt: (美国)
2015-04-26,41
2015-05-03,42
2015-05-10,39
2015-05-17,37
2015-05-24,36
2015-05-31,38
2015-06-07,38
2015-06-14,39
2015-06-21,39
2015-06-28,57
2015-07-05,56
2015-07-12,46
2015-07-19,41
2015-07-26,40
2015-08-02,40
2015-08-09,42
2015-08-16,38
2015-08-23,41
2015-08-30,40
2015-09-06,39
2015-09-13,45
2015-09-20,43
2015-09-27,42
2015-10-04,43
2015-10-11,45
2015-10-18,45
2015-10-25,49
2015-11-01,46
2015-11-08,45
2015-11-15,43
2015-11-22,32
2015-11-29,42
2015-12-06,43
2015-12-13,40
2015-12-20,28
2015-12-27,33
2016-01-03,43
2016-01-10,48
2016-01-17,44
2016-01-24,48
2016-01-31,55
2016-02-07,54
2016-02-14,100
2016-02-21,64
2016-02-28,52
2016-03-06,52
2016-03-13,47
2016-03-20,45
2016-03-27,46
2016-04-03,50
2016-04-10,51
2016-04-17,51
2016-04-24,48
2016-05-01,51
2016-05-08,49
2016-05-15,45
2016-05-22,42
2016-05-29,39
2016-06-05,51
2016-06-12,37
2016-06-19,42
2016-06-26,42
2016-07-03,38
2016-07-10,39
2016-07-17,43
2016-07-24,46
2016-07-31,42
2016-08-07,41
2016-08-14,39
2016-08-21,40
2016-08-28,40
2016-09-04,40
2016-09-11,45
2016-09-18,43
2016-09-25,51
2016-10-02,47
2016-10-09,48
2016-10-16,56
2016-10-23,48
2016-10-30,47
2016-11-06,56
2016-11-13,52
2016-11-20,38
2016-11-27,50
2016-12-04,49
2016-12-11,43
2016-12-18,34
2016-12-25,32
2017-01-01,42
2017-01-08,48
2017-01-15,55
2017-01-22,55
2017-01-29,51
2017-02-05,48
2017-02-12,47
2017-02-19,55
2017-02-26,58
2017-03-05,50
2017-03-12,48
2017-03-19,48
2017-03-26,48
2017-04-02,48
2017-04-09,46
2017-04-16,47
2017-04-23,50
2017-04-30,49
2017-05-07,45
2017-05-14,43
2017-05-21,41
2017-05-28,41
2017-06-04,40
2017-06-11,39
2017-06-18,41
2017-06-25,41
2017-07-02,39
2017-07-09,41
2017-07-16,44
2017-07-23,43
2017-07-30,47
2017-08-06,41
2017-08-13,40
2017-08-20,42
2017-08-27,41
2017-09-03,44
2017-09-10,47
2017-09-17,45
2017-09-24,50
2017-10-01,47
2017-10-08,46
2017-10-15,49
2017-10-22,48
2017-10-29,45
2017-11-05,47
2017-11-12,46
2017-11-19,34
2017-11-26,48
2017-12-03,49
2017-12-10,44
2017-12-17,40
2017-12-24,33
2017-12-31,40
2018-01-07,44
2018-01-14,43
2018-01-21,47
2018-01-28,50
2018-02-04,53
2018-02-11,51
2018-02-18,47
2018-02-25,50
2018-03-04,46
2018-03-11,46
2018-03-18,48
2018-03-25,46
2018-04-01,46
2018-04-08,50
2018-04-15,50
2018-04-22,48
2018-04-29,48
2018-05-06,45
2018-05-13,40
2018-05-20,41
2018-05-27,41
2018-06-03,44
2018-06-10,41
2018-06-17,39
2018-06-24,42
2018-07-01,39
2018-07-08,43
2018-07-15,43
2018-07-22,44
2018-07-29,45
2018-08-05,44
2018-08-12,42
2018-08-19,42
2018-08-26,41
2018-09-02,41
2018-09-09,47
2018-09-16,47
2018-09-23,47
2018-09-30,46
2018-10-07,47
2018-10-14,50
2018-10-21,50
2018-10-28,49
2018-11-04,48
2018-11-11,47
2018-11-18,36
2018-11-25,49
2018-12-02,50
2018-12-09,48
2018-12-16,42
2018-12-23,35
2018-12-30,45
2019-01-06,52
2019-01-13,51
2019-01-20,49
2019-01-27,50
2019-02-03,50
2019-02-10,60
2019-02-17,54
2019-02-24,52
2019-03-03,52
2019-03-10,50
2019-03-17,47
2019-03-24,47
2019-03-31,47
2019-04-07,47
2019-04-14,46
2019-04-21,53
2019-04-28,49
2019-05-05,47
2019-05-12,44
2019-05-19,45
2019-05-26,40
2019-06-02,42
2019-06-09,45
2019-06-16,44
2019-06-23,51
2019-06-30,41
2019-07-07,45
2019-07-14,47
2019-07-21,50
2019-07-28,49
2019-08-04,47
2019-08-11,48
2019-08-18,52
2019-08-25,45
2019-09-01,43
2019-09-08,46
2019-09-15,48
2019-09-22,46
2019-09-29,48
2019-10-06,45
2019-10-13,46
2019-10-20,48
2019-10-27,45
2019-11-03,48
2019-11-10,48
2019-11-17,48
2019-11-24,36
2019-12-01,48
2019-12-08,48
2019-12-15,42
2019-12-22,34
2019-12-29,42
2020-01-05,51
2020-01-12,50
2020-01-19,51
2020-01-26,54
2020-02-02,55
2020-02-09,56
2020-02-16,55
2020-02-23,57
2020-03-01,56
2020-03-08,50
2020-03-15,51
2020-03-22,58
2020-03-29,49
2020-04-05,50
2020-04-12,57
2020-04-19,44
